2026-04-08 00:05:03.300 | INFO     | test | [TEST] logger init ok
2026-04-08 00:05:03.300 | WARNING  | test | [TEST] warning ok
2026-04-08 00:07:13.539 | INFO     | watchfiles.main | 5 changes detected
2026-04-08 00:07:38.584 | INFO     | watchfiles.main | 3 changes detected
2026-04-08 00:07:38.937 | INFO     | watchfiles.main | 155 changes detected
2026-04-08 00:07:40.989 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:07:44.567 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:07:44.927 | INFO     | watchfiles.main | 4 changes detected
2026-04-08 00:07:55.039 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:10:45.229 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:10:45.591 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:11:25.526 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:11:30.408 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:11:53.375 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:11:54.081 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:11:55.246 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:12:22.098 | INFO     | watchfiles.main | 9 changes detected
2026-04-08 00:12:34.028 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:12:35.798 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:13:01.745 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:13:03.863 | INFO     | watchfiles.main | 8 changes detected
2026-04-08 00:13:04.584 | INFO     | app.auth | [AUTH] login success  user=admin(id=1) tenant=default user_type=0 ip=127.0.0.1
2026-04-08 00:13:04.585 | INFO     | app.request | [REQUEST] POST /api/v1/auth/login -> 200  805.3ms  ip=127.0.0.1
2026-04-08 00:13:13.302 | INFO     | app.auth | [AUTH] login success  user=admin(id=1) tenant=default user_type=0 ip=127.0.0.1
2026-04-08 00:13:13.303 | INFO     | app.request | [REQUEST] POST /api/v1/auth/login -> 200  392.6ms  ip=127.0.0.1
2026-04-08 00:13:13.378 | WARNING  | app.request | [REQUEST] GET /api/v1/users/list -> 401  2.1ms  ip=127.0.0.1
2026-04-08 00:13:13.595 | WARNING  | app.request | [REQUEST] GET /api/v1/tenants/list -> 401  1.1ms  ip=127.0.0.1
2026-04-08 00:13:13.709 | WARNING  | app.request | [REQUEST] GET /api/v1/roles/list -> 401  2.1ms  ip=127.0.0.1
2026-04-08 00:13:50.307 | INFO     | app.auth | [AUTH] login success  user=admin(id=1) tenant=default user_type=0 ip=127.0.0.1
2026-04-08 00:13:50.308 | INFO     | app.request | [REQUEST] POST /api/v1/auth/login -> 200  450.5ms  ip=127.0.0.1
2026-04-08 00:13:50.423 | INFO     | app.request | [REQUEST] GET /api/v1/users/list -> 200  110.3ms  ip=127.0.0.1
2026-04-08 00:13:50.563 | INFO     | app.request | [REQUEST] GET /api/v1/tenants/list -> 200  136.4ms  ip=127.0.0.1
2026-04-08 00:13:50.711 | INFO     | app.request | [REQUEST] GET /api/v1/roles/list -> 200  145.0ms  ip=127.0.0.1
2026-04-08 00:13:50.869 | INFO     | app.request | [REQUEST] GET /api/v1/depts/list -> 200  154.9ms  ip=127.0.0.1
2026-04-08 00:13:51.160 | INFO     | app.request | [REQUEST] GET /api/v1/posts/list -> 200  287.7ms  ip=127.0.0.1
2026-04-08 00:13:51.312 | INFO     | app.request | [REQUEST] GET /api/v1/menus/list -> 200  148.3ms  ip=127.0.0.1
2026-04-08 00:13:51.388 | INFO     | app.request | [REQUEST] GET /api/v1/permissions/list -> 200  72.0ms  ip=127.0.0.1
2026-04-08 00:14:04.169 | INFO     | app.auth | [AUTH] login success  user=admin(id=1) tenant=default user_type=0 ip=127.0.0.1
2026-04-08 00:14:04.170 | INFO     | app.request | [REQUEST] POST /api/v1/auth/login -> 200  430.7ms  ip=127.0.0.1
2026-04-08 00:14:04.299 | INFO     | app.dept | [DEPT] create  operator=admin(id=1,tenant=default) -> dept_name=测试部门 id=4 tenant=default
2026-04-08 00:14:04.302 | INFO     | app.request | [REQUEST] POST /api/v1/depts/create -> 200  129.0ms  ip=127.0.0.1
2026-04-08 00:14:04.448 | INFO     | app.role | [ROLE] create  operator=admin(id=1,tenant=default) -> role_name=测试角色 id=4 tenant=default menu_ids=[]
2026-04-08 00:14:04.449 | INFO     | app.request | [REQUEST] POST /api/v1/roles/create -> 200  144.0ms  ip=127.0.0.1
2026-04-08 00:14:04.924 | INFO     | app.user | [USER] create  operator=admin(id=1,tenant=default) -> new_user=testuser99(id=4) tenant=default
2026-04-08 00:14:04.925 | INFO     | app.request | [REQUEST] POST /api/v1/users/create -> 200  472.4ms  ip=127.0.0.1
2026-04-08 00:14:13.080 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:14:15.061 | INFO     | watchfiles.main | 4 changes detected
2026-04-08 00:14:27.894 | INFO     | watchfiles.main | 2 changes detected
2026-04-08 00:14:38.188 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:14:48.714 | INFO     | app.auth | [AUTH] login success  user=admin(id=1) tenant=default user_type=0 ip=127.0.0.1
2026-04-08 00:14:48.715 | INFO     | app.request | [REQUEST] POST /api/v1/auth/login -> 200  345.0ms  ip=127.0.0.1
2026-04-08 00:14:49.253 | INFO     | app.auth | [AUTH] login success  user=testuser99(id=4) tenant=default user_type=2 ip=127.0.0.1
2026-04-08 00:14:49.254 | INFO     | app.request | [REQUEST] POST /api/v1/auth/login -> 200  536.1ms  ip=127.0.0.1
2026-04-08 00:14:49.398 | INFO     | app.request | [REQUEST] GET /api/v1/users/list -> 200  140.7ms  ip=127.0.0.1
2026-04-08 00:14:49.506 | INFO     | app.request | [REQUEST] GET /api/v1/tenants/list -> 200  104.0ms  ip=127.0.0.1
2026-04-08 00:14:49.603 | WARNING  | app.request | [REQUEST] GET /api/v1/users/get/99999 -> 404  93.8ms  ip=127.0.0.1
2026-04-08 00:14:49.683 | WARNING  | app.request | [REQUEST] DELETE /api/v1/users/delete/99999 -> 404  76.7ms  ip=127.0.0.1
2026-04-08 00:14:52.888 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:15:07.923 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:15:12.856 | INFO     | app.request | [REQUEST] OPTIONS /api/v1/auth/login -> 200  0.3ms  ip=127.0.0.1
2026-04-08 00:15:22.954 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:15:37.943 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:15:52.992 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:15:58.953 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:16:07.998 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:16:08.965 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:16:19.617 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:16:41.841 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:16:47.050 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:17:02.125 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:17:17.162 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:17:32.164 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:17:44.373 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:17:47.246 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:18:02.270 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:18:17.285 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:18:32.268 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:18:47.320 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:19:02.355 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:19:17.388 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:19:32.392 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:19:47.399 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:20:02.438 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:20:17.440 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:20:32.467 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:20:47.512 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:21:02.543 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:21:17.535 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:21:32.609 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:21:34.830 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:22:19.905 | INFO     | watchfiles.main | 4 changes detected
2026-04-08 00:22:21.994 | INFO     | app.auth | [AUTH] login success  user=admin(id=1) tenant=default user_type=0 ip=127.0.0.1
2026-04-08 00:22:21.995 | INFO     | app.request | [REQUEST] POST /api/v1/auth/login -> 200  1620.4ms  ip=127.0.0.1
2026-04-08 00:22:34.566 | INFO     | watchfiles.main | 2 changes detected
2026-04-08 00:22:49.663 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:23:04.711 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:23:19.768 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:23:34.795 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:23:49.845 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:24:04.871 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:24:19.943 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:24:34.955 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:24:50.008 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:25:05.038 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:25:20.082 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:25:35.112 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:25:50.210 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:26:05.279 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:26:20.350 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:26:35.425 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:26:50.429 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:27:00.371 | INFO     | watchfiles.main | 5 changes detected
2026-04-08 00:29:36.595 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:31:19.175 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:31:24.317 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:31:31.601 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:31:39.355 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:31:54.398 | INFO     | watchfiles.main | 1 change detected
2026-04-08 00:39:05.769 | INFO     | watchfiles.main | 5 changes detected
2026-04-08 00:39:20.240 | INFO     | app.auth | [AUTH] login success  user=admin(id=1) tenant=default user_type=0 ip=127.0.0.1
2026-04-08 00:39:20.245 | INFO     | app.request | [REQUEST] POST /api/v1/auth/login -> 200  812.5ms  ip=127.0.0.1
2026-04-08 00:39:20.531 | INFO     | app.request | [REQUEST] GET /api/v1/tenants/list -> 200  82.8ms  ip=127.0.0.1
2026-04-08 00:39:53.900 | INFO     | app.request | [REQUEST] GET /api/v1/roles/list -> 200  33445.9ms  ip=127.0.0.1
